method	k	m	lower	upper	right_items	left_items	equation_solutions	candidates	seconds	max_abs_weight	max_abs_partial
mitm	21	57	1099511627776	4398046511103	1048576	3145728	0		0.158835	1082331820032	4110284467200
mitm	21	58	1099511627776	4398046511103	1048576	3145728	1	2375569094238	0.167696	1065152020480	3891242004480
mitm	21	59	1099511627776	4398046511103	1048576	3145728	0		0.195988	1030792429568	4122950697108
mitm	21	60	1099511627776	4398046511103	1048576	3145728	0		0.194439	962073264128	8245900476804
mitm	21	61	1099511627776	4398046511103	1048576	3145728	0		0.15711	824634966016	16491798070212
mitm	21	62	1099511627776	4398046511103	1048576	3145728	0		0.159497	1099506122751	32983589325060
mitm	21	63	1099511627776	4398046511103	1048576	3145728	0		0.176229	2199011721215	65967163970820
mitm	21	64	1099511627776	4398046511103	1048576	3145728	0		0.173302	4398022393855	131934297534468
mitm	21	65	1099511627776	4398046511103	1048576	3145728	0		0.15098	8796042690560	263868533206020
